,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,O1,O10,O2,O3,O4,O5,O6,O7,O8,O9,age,country,engnat,gender,hand,race,source
12775,1,4,5,1,3,5,2,3,5,2,5,5,1,5,1,5,3,5,2,5,3,4,2,4,3,4,2,2,3,5,1,3,2,2,3,4,2,4,4,4,4,5,2,3,4,5,2,5,3,5,23,US,2,1,1,13,5
12776,2,4,5,4,5,1,4,2,4,4,4,4,3,4,4,4,5,5,3,5,3,4,1,2,4,4,2,4,5,2,4,3,3,5,4,3,5,4,3,4,2,3,4,4,2,3,2,4,3,5,14,GB,1,2,1,4,1
12777,1,4,4,2,5,1,5,1,5,5,5,5,1,4,3,4,4,4,3,5,3,4,4,4,4,4,2,5,4,4,4,3,4,4,3,4,5,4,4,5,3,3,3,3,3,3,4,3,2,4,18,US,1,2,1,11,5
12778,1,5,5,2,5,1,3,1,5,5,5,5,2,4,1,4,2,4,1,5,2,1,1,5,2,5,1,3,3,4,2,3,3,3,4,2,2,2,2,4,5,3,3,3,2,3,2,5,4,3,50,GB,1,2,1,3,5
12779,3,3,4,5,4,2,3,3,3,4,3,3,5,4,4,2,3,3,3,5,5,3,2,3,3,4,2,5,3,4,4,3,2,4,4,3,4,4,4,4,3,3,3,5,3,3,2,4,3,4,23,US,1,2,1,3,1
12780,2,3,4,3,3,2,4,1,4,3,4,3,2,3,3,4,2,3,3,3,4,4,4,4,3,4,3,4,4,2,3,3,4,4,3,4,2,3,3,4,3,3,3,3,2,3,3,3,2,3,16,GB,1,2,1,13,1
12781,2,2,4,3,4,2,2,4,3,3,4,2,1,4,1,5,1,1,3,5,2,5,4,3,4,1,4,1,5,2,5,3,2,4,3,1,2,2,2,5,3,3,1,5,2,3,1,4,4,4,24,US,1,2,1,3,2
12782,3,3,4,1,4,2,3,2,3,2,3,3,4,3,4,2,5,2,3,1,2,5,3,2,3,3,2,1,5,3,4,3,3,3,2,1,4,3,2,4,4,5,1,5,1,5,1,4,4,4,17,US,1,2,1,13,1
12783,1,4,5,3,5,1,4,1,4,5,4,5,5,3,3,1,5,4,1,2,4,3,1,4,2,5,1,4,1,5,5,1,3,5,5,3,4,4,5,5,5,5,1,5,1,5,1,5,5,5,33,US,1,2,1,3,5
12784,2,3,4,2,4,2,3,2,3,4,3,3,4,3,2,1,2,4,3,4,2,4,3,3,3,2,2,1,5,1,5,5,2,5,1,5,5,5,5,5,4,3,2,4,1,3,2,2,4,5,21,US,1,2,1,3,1
12785,4,3,3,4,2,3,2,1,2,3,3,3,4,4,3,2,4,3,2,2,3,1,3,4,3,3,3,1,3,3,4,4,2,4,2,3,4,5,4,3,4,4,2,4,2,3,3,4,3,1,18,GB,1,1,1,3,1
12786,3,4,5,1,5,2,5,1,4,5,4,4,3,5,2,5,5,4,3,5,5,5,3,5,5,5,1,1,4,4,4,5,4,4,5,4,3,4,4,3,4,5,2,4,1,5,1,5,3,4,19,PH,2,2,1,11,2
12787,1,4,5,2,5,2,5,1,4,5,3,5,4,4,4,1,2,5,4,5,4,3,1,5,3,5,2,4,1,5,3,3,3,4,3,3,4,4,2,4,4,5,2,5,1,5,1,4,4,4,27,US,1,1,1,3,5
12788,4,2,4,1,4,1,3,1,4,3,2,4,1,4,4,2,1,5,3,4,2,4,1,3,2,4,4,5,3,2,3,3,2,3,2,3,2,5,2,2,5,2,3,4,2,2,2,3,4,3,46,IT,2,1,1,3,5
12789,2,2,3,1,5,2,5,2,2,5,4,5,2,5,1,4,1,5,1,5,1,5,5,2,5,1,4,1,5,1,3,2,2,4,4,3,2,1,2,3,5,5,1,5,1,5,1,5,5,5,42,US,1,1,1,3,2
12790,3,4,4,1,4,3,3,3,3,3,4,5,1,5,1,4,1,5,1,5,1,4,2,2,4,2,4,2,5,2,4,3,3,4,3,2,3,3,2,4,5,4,1,4,1,4,2,5,5,4,15,GB,1,2,1,3,1
12791,2,4,5,2,4,3,4,2,4,5,2,3,5,3,5,3,5,3,5,3,3,3,3,3,3,3,3,4,2,5,2,2,3,3,3,4,3,4,3,4,2,4,2,5,2,5,2,4,2,4,21,US,2,2,1,11,2
12792,2,3,2,4,3,3,1,3,5,2,3,3,1,4,5,2,3,4,2,3,3,4,4,3,5,3,3,3,5,2,4,5,1,5,5,2,3,5,5,3,3,3,3,5,3,3,2,4,2,5,14,KY,1,2,1,8,1
12793,3,4,3,2,3,3,4,4,3,3,2,4,2,4,3,4,4,5,3,3,1,4,3,2,4,2,3,1,3,4,2,3,4,4,3,3,4,3,2,3,5,5,3,3,4,5,3,5,5,5,15,BR,2,1,1,3,1
12794,1,3,5,2,5,1,5,1,4,5,3,4,2,5,1,4,2,4,1,3,4,2,1,5,3,4,2,5,3,4,3,1,3,4,3,3,1,1,1,2,3,2,3,2,1,3,3,5,3,5,21,US,1,1,1,8,1
12795,1,5,4,1,4,1,3,1,4,4,3,5,5,5,3,4,1,5,1,3,4,2,2,5,2,4,1,5,4,3,1,2,5,3,2,1,1,2,1,1,5,5,1,5,1,4,1,5,5,5,25,IL,1,1,1,1,1
12796,4,4,4,2,3,3,4,3,3,4,4,4,3,4,3,3,3,4,2,3,3,4,3,3,4,2,4,2,4,2,3,3,2,4,3,3,3,3,4,3,4,5,1,5,1,4,1,5,4,5,21,ES,2,1,1,3,2
12797,1,3,5,2,4,2,3,2,3,3,3,4,3,3,3,2,3,3,2,2,4,2,4,4,3,3,2,4,2,3,3,2,4,4,4,3,3,2,2,2,3,3,3,3,2,2,2,3,2,2,24,US,1,2,1,3,2
12798,1,5,5,1,5,1,4,1,4,5,3,3,3,5,5,1,3,2,4,2,4,4,2,3,3,5,1,4,4,4,1,4,5,5,4,5,2,4,4,2,4,5,1,4,1,5,1,5,3,5,23,IL,2,1,1,5,1
12799,1,4,5,1,5,1,5,1,5,5,3,3,5,3,3,1,3,3,2,3,1,5,4,3,5,1,2,1,5,1,4,4,2,5,2,3,5,4,4,5,3,2,2,5,2,2,1,4,4,5,22,US,2,2,1,3,2
12800,3,3,4,1,4,3,5,3,3,4,2,3,2,4,4,2,3,3,3,2,3,4,3,2,4,3,2,2,4,1,2,4,4,4,4,4,2,3,3,3,4,4,2,4,2,4,2,4,2,4,24,BA,2,2,1,3,2
12801,1,4,5,1,5,2,4,1,4,4,4,3,4,4,3,2,4,4,2,3,3,4,2,4,3,4,2,2,2,4,2,2,4,2,3,2,2,3,2,2,4,4,2,5,2,3,1,4,3,5,18,US,1,2,1,3,5
12802,1,5,4,1,5,1,5,1,4,5,3,5,1,5,1,5,1,4,1,5,4,5,1,5,1,5,1,5,2,4,2,1,5,2,5,3,1,1,1,1,4,3,1,3,1,3,1,5,3,2,44,US,1,2,2,8,5
12803,1,1,3,2,4,2,2,4,3,3,3,3,2,3,4,2,2,4,3,3,1,5,5,1,5,1,5,1,5,1,5,5,1,5,1,3,3,2,4,3,2,1,3,2,3,1,5,3,2,4,15,US,1,2,1,3,2
12804,1,3,2,2,3,3,4,4,2,3,4,4,5,3,3,1,4,5,2,5,1,5,4,3,4,2,3,1,5,1,4,3,3,4,3,2,4,4,3,4,5,4,1,4,2,4,2,4,4,4,31,US,1,2,1,3,1
12805,1,4,5,2,5,1,5,1,5,5,5,4,2,5,1,4,2,3,1,5,4,3,1,5,3,5,1,3,3,3,3,2,4,5,3,4,3,3,3,2,5,3,1,5,1,4,5,5,5,5,42,GB,1,2,1,3,1
12806,2,5,2,1,3,1,3,1,4,3,5,5,1,5,1,5,1,1,1,5,2,5,4,4,3,5,3,2,3,4,1,2,2,2,3,1,1,1,1,1,3,5,2,1,2,5,3,4,3,3,18,MU,2,1,1,1,1
12807,1,5,5,1,5,1,5,1,5,5,4,5,5,4,2,4,2,5,1,3,4,1,2,4,2,5,1,2,2,4,5,4,2,5,2,5,3,2,2,2,4,4,4,3,3,5,4,5,4,5,27,US,1,2,1,1,1
